2026-01-29 22:10:14,316 | DEBUG    | asyncio              | Using proactor: IocpProactor
2026-01-29 22:10:14,318 | DEBUG    | asyncio              | Using proactor: IocpProactor
2026-01-29 22:10:14,328 | DEBUG    | asyncio              | Using proactor: IocpProactor
2026-01-29 22:10:14,917 | INFO     | uvicorn.error        | Started server process [27504]
2026-01-29 22:10:14,917 | INFO     | uvicorn.error        | Started server process [14864]
2026-01-29 22:10:14,917 | INFO     | uvicorn.error        | Waiting for application startup.
2026-01-29 22:10:14,918 | INFO     | uvicorn.error        | Waiting for application startup.
2026-01-29 22:10:14,918 | INFO     | uvicorn.error        | Application startup complete.
2026-01-29 22:10:14,918 | INFO     | uvicorn.error        | Application startup complete.
2026-01-29 22:10:14,918 | INFO     | uvicorn.error        | Uvicorn running on http://127.0.0.1:8002 (Press CTRL+C to quit)
2026-01-29 22:10:14,919 | INFO     | uvicorn.error        | Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
2026-01-29 22:10:16,909 | INFO     | uvicorn.error        | Started server process [7292]
2026-01-29 22:10:16,909 | INFO     | uvicorn.error        | Waiting for application startup.
2026-01-29 22:10:16,911 | INFO     | uvicorn.error        | Application startup complete.
2026-01-29 22:10:16,911 | INFO     | uvicorn.error        | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-01-29 22:10:37,312 | DEBUG    | httpcore.connection  | connect_tcp.started host='127.0.0.1' port=10808 local_address=None timeout=5.0 socket_options=None
2026-01-29 22:10:37,314 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002698A1C4070>
2026-01-29 22:10:37,315 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'POST']>
2026-01-29 22:10:37,316 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-01-29 22:10:37,316 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'POST']>
2026-01-29 22:10:37,316 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-01-29 22:10:37,316 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'POST']>
2026-01-29 22:10:37,346 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'43'), (b'Connection', b'keep-alive'), (b'Content-Type', b'application/json'), (b'Date', b'Thu, 29 Jan 2026 19:10:36 GMT'), (b'Keep-Alive', b'timeout=60'), (b'Proxy-Connection', b'keep-alive'), (b'Server', b'uvicorn')])
2026-01-29 22:10:37,346 | INFO     | httpx                | HTTP Request: POST http://127.0.0.1:8001/rag/get_info "HTTP/1.1 200 OK"
2026-01-29 22:10:37,346 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'POST']>
2026-01-29 22:10:37,346 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-01-29 22:10:37,348 | DEBUG    | httpcore.http11      | response_closed.started
2026-01-29 22:10:37,348 | DEBUG    | httpcore.http11      | response_closed.complete
2026-01-29 22:10:37,349 | DEBUG    | httpcore.connection  | close.started
2026-01-29 22:10:37,349 | DEBUG    | httpcore.connection  | close.complete
2026-01-29 22:10:37,445 | DEBUG    | httpcore.connection  | connect_tcp.started host='127.0.0.1' port=10808 local_address=None timeout=5.0 socket_options=None
2026-01-29 22:10:37,446 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002698A205B70>
2026-01-29 22:10:37,448 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'POST']>
2026-01-29 22:10:37,449 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-01-29 22:10:37,449 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'POST']>
2026-01-29 22:10:37,449 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-01-29 22:10:37,449 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'POST']>
2026-01-29 22:10:37,472 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Content-Type', b'application/json'), (b'Date', b'Thu, 29 Jan 2026 19:10:36 GMT'), (b'Keep-Alive', b'timeout=60'), (b'Proxy-Connection', b'keep-alive'), (b'Server', b'uvicorn')])
2026-01-29 22:10:37,473 | INFO     | httpx                | HTTP Request: POST http://127.0.0.1:8002/model/get_responce "HTTP/1.1 200 OK"
2026-01-29 22:10:37,473 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'POST']>
2026-01-29 22:10:37,475 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-01-29 22:10:37,476 | DEBUG    | httpcore.http11      | response_closed.started
2026-01-29 22:10:37,476 | DEBUG    | httpcore.http11      | response_closed.complete
2026-01-29 22:10:37,477 | DEBUG    | httpcore.connection  | close.started
2026-01-29 22:10:37,477 | DEBUG    | httpcore.connection  | close.complete
